_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
169167,2024-07,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,60 years 06 months,320000.0,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123,2025-06-30
169204,2024-07,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,55 years 08 months,410000.0,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454,2025-06-30
169205,2024-07,ANG MO KIO,3 ROOM,220,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1977,52 years 01 month,390000.0,220 ANG MO KIO AVE 1,560220,1.36558833593063,103.840518883254,2025-06-30
169206,2024-07,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,88.0,New Generation,1977,51 years 11 months,440000.0,320 ANG MO KIO AVE 1,560320,1.36559244608528,103.848386744168,2025-06-30
169207,2024-07,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,01 TO 03,67.0,New Generation,1976,50 years 11 months,370000.0,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489,2025-06-30
169208,2024-07,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,87 years 03 months,660000.0,307C ANG MO KIO AVE 1,563307,1.36556100435161,103.845169497182,2025-06-30
169209,2024-07,ANG MO KIO,3 ROOM,223,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1978,52 years 07 months,405000.0,223 ANG MO KIO AVE 1,560223,1.36604808445916,103.838122716883,2025-06-30
169210,2024-07,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,51 years 11 months,460000.0,320 ANG MO KIO AVE 1,560320,1.36559244608528,103.848386744168,2025-06-30
169317,2024-07,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,53 years 08 months,380000.0,440 ANG MO KIO AVE 10,560440,1.36642789831215,103.854311491141,2025-06-30
169318,2024-07,ANG MO KIO,3 ROOM,554,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,55 years 07 months,365000.0,554 ANG MO KIO AVE 10,560554,1.37282000844329,103.857784026362,2025-06-30
