_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
92241,2021-03,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,54 years 02 months,260000.0,213 ANG MO KIO AVE 3,560213,1.36776947218047,103.841255432522,2025-06-30
92242,2021-03,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,04 TO 06,61.0,Improved,1986,63 years 11 months,265000.0,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142,2025-06-30
92243,2021-03,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1984,62 years,270000.0,474 ANG MO KIO AVE 10,560474,1.36275784702216,103.858015323667,2025-06-30
92244,2021-03,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,54 years 01 month,270000.0,214 ANG MO KIO AVE 3,560214,1.3673922200256,103.841127940925,2025-06-30
92245,2021-03,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,57 years 06 months,270000.0,443 ANG MO KIO AVE 10,560443,1.36604388871674,103.855368968681,2025-06-30
92246,2021-03,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,01 TO 03,60.0,Improved,1986,64 years,273500.0,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142,2025-06-30
92247,2021-03,ANG MO KIO,3 ROOM,122,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,56 years 09 months,274888.0,122 ANG MO KIO AVE 3,560122,1.37018860668947,103.843413231524,2025-06-30
92248,2021-03,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1984,61 years 11 months,275000.0,474 ANG MO KIO AVE 10,560474,1.36275784702216,103.858015323667,2025-06-30
92249,2021-03,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,56 years 06 months,275000.0,108 ANG MO KIO AVE 4,560108,1.37096635222625,103.838201940326,2025-06-30
92250,2021-03,ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,58 years 04 months,275000.0,604 ANG MO KIO AVE 5,560604,1.37986658053966,103.835976650638,2025-06-30
92251,2021-03,ANG MO KIO,3 ROOM,606,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,58 years 04 months,275000.0,606 ANG MO KIO AVE 5,560606,1.37932777238671,103.83673603156,2025-06-30
92252,2021-03,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,58 years,278000.0,558 ANG MO KIO AVE 10,560558,1.37123613284274,103.859192016193,2025-06-30
