_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
52447,2019-07,ANG MO KIO,2 ROOM,508,ANG MO KIO AVE 8,04 TO 06,44.0,Improved,1980,59 years 11 months,206000.0,508 ANG MO KIO AVE 8,560508,1.3737900820123,103.849028999189,2025-06-30
52448,2019-07,ANG MO KIO,3 ROOM,611,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,59 years 11 months,218000.0,611 ANG MO KIO AVE 5,560611,1.37829205175133,103.83725190016,2025-06-30
52449,2019-07,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,58 years 03 months,238000.0,121 ANG MO KIO AVE 3,560121,1.36970563478325,103.843515981311,2025-06-30
52450,2019-07,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,04 TO 06,68.0,New Generation,1985,64 years 06 months,240000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956,2025-06-30
52451,2019-07,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1979,58 years 11 months,245000.0,570 ANG MO KIO AVE 3,560570,1.3697435855576,103.856023138277,2025-06-30
52452,2019-07,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,07 TO 09,68.0,New Generation,1981,60 years 09 months,245800.0,178 ANG MO KIO AVE 4,560178,1.37619319942083,103.837038191014,2025-06-30
52453,2019-07,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,04 TO 06,68.0,New Generation,1980,60 years 01 month,248000.0,504 ANG MO KIO AVE 8,560504,1.37482589458092,103.848956089557,2025-06-30
52454,2019-07,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1981,60 years 06 months,251000.0,540 ANG MO KIO AVE 10,560540,1.37529376778898,103.855452425625,2025-06-30
52455,2019-07,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,01 TO 03,74.0,New Generation,1978,57 years 09 months,255000.0,106 ANG MO KIO AVE 4,560106,1.37193370323489,103.837486061851,2025-06-30
52456,2019-07,ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,59 years 11 months,255000.0,604 ANG MO KIO AVE 5,560604,1.37986658053966,103.835976650638,2025-06-30
52457,2019-07,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 06 months,255000.0,435 ANG MO KIO AVE 10,560435,1.36766116325929,103.854307499675,2025-06-30
52458,2019-07,ANG MO KIO,3 ROOM,449,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,59 years 05 months,255000.0,449 ANG MO KIO AVE 10,560449,1.36785888260941,103.856047007924,2025-06-30
52459,2019-07,ANG MO KIO,3 ROOM,635,ANG MO KIO AVE 6,01 TO 03,68.0,New Generation,1980,60 years 02 months,255000.0,635 ANG MO KIO AVE 6,560635,1.38076896104696,103.842378423538,2025-06-30
52460,2019-07,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,07 TO 09,60.0,Improved,1986,65 years 06 months,260000.0,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365,2025-06-30
52461,2019-07,ANG MO KIO,3 ROOM,637,ANG MO KIO AVE 6,01 TO 03,68.0,New Generation,1980,60 years 03 months,260000.0,637 ANG MO KIO AVE 6,560637,1.38036187235317,103.842334616577,2025-06-30
52462,2019-07,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,04 TO 06,75.0,New Generation,1980,59 years 06 months,262000.0,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115,2025-06-30
52463,2019-07,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,10 TO 12,68.0,New Generation,1985,64 years 06 months,263000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956,2025-06-30
52464,2019-07,ANG MO KIO,3 ROOM,126,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1978,58 years 02 months,265000.0,126 ANG MO KIO AVE 3,560126,1.37164990020956,103.843644176374,2025-06-30
52465,2019-07,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,13 TO 15,67.0,New Generation,1979,59 years,268000.0,476 ANG MO KIO AVE 10,560476,1.36238829184688,103.857880564737,2025-06-30
52466,2019-07,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,58 years 03 months,270000.0,119 ANG MO KIO AVE 3,560119,1.36956344301912,103.844698910817,2025-06-30
52467,2019-07,ANG MO KIO,3 ROOM,159,ANG MO KIO AVE 4,01 TO 03,69.0,New Generation,1980,60 years 03 months,270000.0,159 ANG MO KIO AVE 4,560159,1.37479893193043,103.839858129785,2025-06-30
52468,2019-07,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,60 years 06 months,270000.0,503 ANG MO KIO AVE 5,560503,1.37546163119278,103.848942047568,2025-06-30
52469,2019-07,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,59 years 01 month,275000.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2025-06-30
52470,2019-07,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,59 years 07 months,275000.0,462 ANG MO KIO AVE 10,560462,1.36695558620194,103.858031320467,2025-06-30
52471,2019-07,ANG MO KIO,3 ROOM,182,ANG MO KIO AVE 5,04 TO 06,82.0,New Generation,1981,60 years 09 months,275000.0,182 ANG MO KIO AVE 5,560182,1.37733908523477,103.836472445051,2025-06-30
52472,2019-07,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,04 TO 06,74.0,New Generation,1979,59 years 02 months,275000.0,417 ANG MO KIO AVE 10,560417,1.36495953274783,103.855197097728,2025-06-30
