_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
197038,2025-09,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,54 years 05 months,420888.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513,2025-09-18
197039,2025-09,ANG MO KIO,3 ROOM,321,ANG MO KIO AVE 1,10 TO 12,88.0,New Generation,1977,50 years 09 months,533888.0,321 ANG MO KIO AVE 1,560321,1.36514126911853,103.8487041858,2026-01-18
197040,2025-09,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,01 TO 03,82.0,New Generation,1981,54 years 05 months,450000.0,330 ANG MO KIO AVE 1,560330,1.36243186402478,103.851030689651,2026-01-18
197041,2025-09,ANG MO KIO,3 ROOM,308B,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,86 years 01 month,700888.0,308B ANG MO KIO AVE 1,562308,1.3652661423815,103.844538059044,2026-01-18
197042,2025-09,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,82.0,New Generation,1976,49 years 09 months,468000.0,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489,2026-01-18
197043,2025-09,ANG MO KIO,3 ROOM,308A,ANG MO KIO AVE 1,13 TO 15,70.0,Model A,2012,86 years,625000.0,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929,2026-01-18
197164,2025-09,ANG MO KIO,3 ROOM,561,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,53 years 05 months,408000.0,561 ANG MO KIO AVE 10,560561,1.37057765782635,103.857854578394,2026-01-18
197165,2025-09,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1984,57 years 11 months,426000.0,473 ANG MO KIO AVE 10,560473,1.36305380914637,103.856846002568,2025-09-30
197166,2025-09,ANG MO KIO,3 ROOM,577,ANG MO KIO AVE 10,13 TO 15,67.0,New Generation,1980,53 years 05 months,400000.0,577 ANG MO KIO AVE 10,560577,1.37178732806791,103.855854368773,2026-01-18
197167,2025-09,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,53 years,390000.0,445 ANG MO KIO AVE 10,560445,1.36698004515058,103.85571808973,2026-01-18
197168,2025-09,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,53 years 05 months,410000.0,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235,2026-01-18
197169,2025-09,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,53 years 04 months,410000.0,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877,2026-01-18
197170,2025-09,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,13 TO 15,74.0,New Generation,1979,52 years 11 months,468888.0,416 ANG MO KIO AVE 10,560416,1.3645417089084,103.855103690549,2025-09-11
197171,2025-09,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,07 TO 09,74.0,New Generation,1979,52 years 11 months,443000.0,417 ANG MO KIO AVE 10,560417,1.36495953274783,103.855197097728,2025-09-15
