_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
64257,2020-01,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 07 months,265000.0,208 ANG MO KIO AVE 1,560208,1.36544495225352,103.842715047475,2025-06-30
64258,2020-01,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,91 years 08 months,470000.0,307C ANG MO KIO AVE 1,563307,1.36556100435161,103.845169497182,2025-06-30
64259,2020-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1977,56 years 04 months,230000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2025-06-30
64260,2020-01,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 03 months,280000.0,216 ANG MO KIO AVE 1,560216,1.36619678831054,103.841505011903,2025-06-30
64261,2020-01,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,59 years 01 month,220000.0,556 ANG MO KIO AVE 10,560556,1.37203236308683,103.857625375797,2025-06-30
64262,2020-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000.0,536 ANG MO KIO AVE 10,560536,1.37447378519738,103.854100515826,2025-06-30
64263,2020-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1980,59 years 01 month,240000.0,560 ANG MO KIO AVE 10,560560,1.37081626777721,103.859192334256,2025-06-30
64264,2020-01,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,59 years 02 months,301000.0,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675,2025-06-30
64265,2020-01,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000.0,476 ANG MO KIO AVE 10,560476,1.36238829184688,103.857880564737,2025-06-30
64266,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,233000.0,442 ANG MO KIO AVE 10,560442,1.36565326940253,103.855232195496,2025-06-30
64267,2020-01,ANG MO KIO,3 ROOM,578,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,59 years,250000.0,578 ANG MO KIO AVE 10,560578,1.37179067644703,103.854961173992,2025-06-30
64268,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years 07 months,245000.0,442 ANG MO KIO AVE 10,560442,1.36565326940253,103.855232195496,2025-06-30
64269,2020-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000.0,445 ANG MO KIO AVE 10,560445,1.36698004515058,103.85571808973,2025-06-30
