_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
46578,2019-04,ANG MO KIO,3 ROOM,122,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,58 years 06 months,220000.0,122 ANG MO KIO AVE 3,560122,1.37018860668947,103.843413231524,2025-06-30
46579,2019-04,ANG MO KIO,3 ROOM,181,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,61 years,230000.0,181 ANG MO KIO AVE 5,560181,1.37679309896347,103.837142240849,2025-06-30
46580,2019-04,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,56 years,233000.0,214 ANG MO KIO AVE 3,560214,1.3673922200256,103.841127940925,2025-06-30
46581,2019-04,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,60 years 02 months,235000.0,602 ANG MO KIO AVE 5,560602,1.38070883044887,103.835368226602,2025-06-30
46582,2019-04,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,01 TO 03,68.0,New Generation,1981,60 years 09 months,240000.0,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454,2025-06-30
46583,2019-04,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,59 years 03 months,240000.0,476 ANG MO KIO AVE 10,560476,1.36238829184688,103.857880564737,2025-06-30
46584,2019-04,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,04 TO 06,68.0,New Generation,1981,61 years 01 month,240000.0,178 ANG MO KIO AVE 4,560178,1.37619319942083,103.837038191014,2025-06-30
46585,2019-04,ANG MO KIO,3 ROOM,608,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,60 years 02 months,245000.0,608 ANG MO KIO AVE 5,560608,1.37858209980487,103.836760311526,2025-06-30
46586,2019-04,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1977,57 years 03 months,250000.0,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612,2025-06-30
46587,2019-04,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,07 TO 09,68.0,New Generation,1981,61 years 01 month,250000.0,178 ANG MO KIO AVE 4,560178,1.37619319942083,103.837038191014,2025-06-30
46588,2019-04,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,59 years 03 months,252000.0,471 ANG MO KIO AVE 10,560471,1.36346600647245,103.856702918462,2025-06-30
46589,2019-04,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,04 TO 06,67.0,New Generation,1980,60 years 02 months,253000.0,509 ANG MO KIO AVE 8,560509,1.37400086510074,103.850139806283,2025-06-30
46590,2019-04,ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,58 years 09 months,255000.0,434 ANG MO KIO AVE 10,560434,1.3678915069194,103.85345502653,2025-06-30
46591,2019-04,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,59 years 10 months,255000.0,461 ANG MO KIO AVE 10,560461,1.36752776339718,103.85740958675,2025-06-30
46592,2019-04,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1977,57 years 05 months,258000.0,233 ANG MO KIO AVE 3,560233,1.36754924977907,103.836740628478,2025-06-30
46593,2019-04,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,59 years 10 months,260000.0,461 ANG MO KIO AVE 10,560461,1.36752776339718,103.85740958675,2025-06-30
46594,2019-04,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,04 TO 06,68.0,New Generation,1985,64 years 09 months,260000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956,2025-06-30
46595,2019-04,ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1980,60 years 08 months,260000.0,607 ANG MO KIO AVE 4,560607,1.38046758670091,103.838816721629,2025-06-30
46596,2019-04,ANG MO KIO,3 ROOM,550,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1981,60 years 09 months,268000.0,550 ANG MO KIO AVE 10,560550,1.37360769512088,103.85820494173,2025-06-30
46597,2019-04,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,56 years,270000.0,215 ANG MO KIO AVE 1,560215,1.36655830166122,103.841624082978,2025-06-30
46598,2019-04,ANG MO KIO,3 ROOM,403,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,59 years 01 month,272000.0,403 ANG MO KIO AVE 10,560403,1.36126901451361,103.854642365822,2025-06-30
46599,2019-04,ANG MO KIO,3 ROOM,127,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,58 years 06 months,272000.0,127 ANG MO KIO AVE 3,560127,1.37122322102767,103.843593321222,2025-06-30
46600,2019-04,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,60 years 09 months,273000.0,153 ANG MO KIO AVE 5,560153,1.37635745661369,103.842056476563,2025-06-30
46601,2019-04,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1981,60 years 10 months,275000.0,540 ANG MO KIO AVE 10,560540,1.37529376778898,103.855452425625,2025-06-30
46602,2019-04,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,60 years 09 months,275000.0,541 ANG MO KIO AVE 10,560541,1.37392239168826,103.855621371068,2025-06-30
46603,2019-04,ANG MO KIO,3 ROOM,225,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1978,57 years 09 months,275000.0,225 ANG MO KIO AVE 1,560225,1.36739612776859,103.838150007464,2025-06-30
46604,2019-04,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1984,64 years 05 months,275000.0,466 ANG MO KIO AVE 10,560466,1.36581960538764,103.857061606231,2025-06-30
46605,2019-04,ANG MO KIO,3 ROOM,621,ANG MO KIO AVE 9,10 TO 12,68.0,New Generation,1980,60 years 05 months,275000.0,621 ANG MO KIO AVE 9,560621,1.3830287591126,103.840669099959,2025-06-30
46606,2019-04,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,56 years,278000.0,215 ANG MO KIO AVE 1,560215,1.36655830166122,103.841624082978,2025-06-30
46607,2019-04,ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,07 TO 09,68.0,New Generation,1980,60 years 07 months,280000.0,607 ANG MO KIO AVE 4,560607,1.38046758670091,103.838816721629,2025-06-30
46608,2019-04,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,57 years 01 month,285000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2025-06-30
46609,2019-04,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,58 years 07 months,285000.0,119 ANG MO KIO AVE 3,560119,1.36956344301912,103.844698910817,2025-06-30
46610,2019-04,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1978,58 years,288000.0,302 ANG MO KIO AVE 3,560302,1.36708983179046,103.845660199054,2025-06-30
46611,2019-04,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1985,64 years 09 months,288000.0,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035,2025-06-30
46612,2019-04,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,01 TO 03,73.0,New Generation,1978,57 years 09 months,290000.0,313 ANG MO KIO AVE 3,560313,1.36664972640598,103.850133665442,2025-06-30
46613,2019-04,ANG MO KIO,3 ROOM,637,ANG MO KIO AVE 6,04 TO 06,68.0,New Generation,1980,60 years 06 months,290000.0,637 ANG MO KIO AVE 6,560637,1.38036187235317,103.842334616577,2025-06-30
46614,2019-04,ANG MO KIO,3 ROOM,550,ANG MO KIO AVE 10,13 TO 15,68.0,New Generation,1981,60 years 09 months,292000.0,550 ANG MO KIO AVE 10,560550,1.37360769512088,103.85820494173,2025-06-30
46615,2019-04,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,56 years 03 months,295000.0,208 ANG MO KIO AVE 1,560208,1.36544495225352,103.842715047475,2025-06-30
46616,2019-04,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,04 TO 06,74.0,New Generation,1979,59 years 05 months,295000.0,418 ANG MO KIO AVE 10,560418,1.3649460137791,103.854043379775,2025-06-30
46617,2019-04,ANG MO KIO,3 ROOM,637,ANG MO KIO AVE 6,04 TO 06,68.0,New Generation,1980,60 years 06 months,296000.0,637 ANG MO KIO AVE 6,560637,1.38036187235317,103.842334616577,2025-06-30
46618,2019-04,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,60 years 10 months,300000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513,2025-06-30
46619,2019-04,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,07 TO 09,82.0,New Generation,1981,61 years 02 months,300000.0,155 ANG MO KIO AVE 4,560155,1.37587723828643,103.840067482919,2025-06-30
46620,2019-04,ANG MO KIO,3 ROOM,586,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1979,59 years 03 months,310000.0,586 ANG MO KIO AVE 3,560586,1.37030352965928,103.853455898206,2025-06-30
46621,2019-04,ANG MO KIO,3 ROOM,506,ANG MO KIO AVE 8,07 TO 09,68.0,New Generation,1980,60 years 04 months,310000.0,506 ANG MO KIO AVE 8,560506,1.37440041920745,103.84893617353,2025-06-30
46622,2019-04,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,60 years 09 months,315000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513,2025-06-30
46623,2019-04,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1980,59 years 10 months,320000.0,558 ANG MO KIO AVE 10,560558,1.37123613284274,103.859192016193,2025-06-30
46624,2019-04,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,07 TO 09,74.0,New Generation,1979,59 years 04 months,323000.0,419 ANG MO KIO AVE 10,560419,1.36534669720177,103.85415182597,2025-06-30
46625,2019-04,ANG MO KIO,3 ROOM,646,ANG MO KIO AVE 6,10 TO 12,75.0,New Generation,1980,60 years 08 months,328000.0,646 ANG MO KIO AVE 6,560646,1.37939517687868,103.843763599411,2025-06-30
46626,2019-04,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1979,59 years 04 months,333800.0,418 ANG MO KIO AVE 10,560418,1.3649460137791,103.854043379775,2025-06-30
46627,2019-04,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,01 TO 03,82.0,New Generation,1981,60 years 09 months,348000.0,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454,2025-06-30
46628,2019-04,ANG MO KIO,3 ROOM,512,ANG MO KIO AVE 8,07 TO 09,82.0,New Generation,1980,60 years 05 months,360000.0,512 ANG MO KIO AVE 8,560512,1.3726147414362,103.849155674919,2025-06-30
46629,2019-04,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,10 TO 12,82.0,New Generation,1985,64 years 09 months,365000.0,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035,2025-06-30
46630,2019-04,ANG MO KIO,3 ROOM,308A,ANG MO KIO AVE 1,16 TO 18,70.0,Model A,2012,92 years 06 months,470000.0,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929,2025-06-30
46631,2019-04,ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,92 years 05 months,500000.0,310C ANG MO KIO AVE 1,563310,1.36461194568101,103.844851256166,2025-06-30
46632,2019-04,ANG MO KIO,4 ROOM,601,ANG MO KIO AVE 5,01 TO 03,91.0,New Generation,1980,60 years 03 months,295000.0,601 ANG MO KIO AVE 5,560601,1.38104134784496,103.835131744823,2025-06-30
46633,2019-04,ANG MO KIO,4 ROOM,152,ANG MO KIO AVE 5,01 TO 03,93.0,New Generation,1981,61 years 02 months,320000.0,152 ANG MO KIO AVE 5,560152,1.3766876256746,103.840159506601,2025-06-30
46634,2019-04,ANG MO KIO,4 ROOM,438,ANG MO KIO AVE 10,01 TO 03,92.0,New Generation,1979,58 years 09 months,330000.0,438 ANG MO KIO AVE 10,560438,1.3669708169506,103.853906591778,2025-06-30
46635,2019-04,ANG MO KIO,4 ROOM,463,ANG MO KIO AVE 10,04 TO 06,92.0,New Generation,1980,59 years 10 months,362000.0,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675,2025-06-30
46636,2019-04,ANG MO KIO,4 ROOM,559,ANG MO KIO AVE 10,04 TO 06,92.0,New Generation,1980,59 years 10 months,365000.0,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877,2025-06-30
46637,2019-04,ANG MO KIO,4 ROOM,470,ANG MO KIO AVE 10,13 TO 15,92.0,New Generation,1979,59 years 07 months,368000.0,470 ANG MO KIO AVE 10,560470,1.36408620030202,103.856692408941,2025-06-30
46638,2019-04,ANG MO KIO,4 ROOM,472,ANG MO KIO AVE 10,10 TO 12,92.0,New Generation,1979,59 years 03 months,388000.0,472 ANG MO KIO AVE 10,560472,1.36314392666998,103.858118593427,2025-06-30
46639,2019-04,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,04 TO 06,98.0,New Generation,1979,58 years 09 months,390000.0,131 ANG MO KIO AVE 3,560131,1.37101536386003,103.841800323712,2025-06-30
46640,2019-04,ANG MO KIO,4 ROOM,177,ANG MO KIO AVE 4,10 TO 12,91.0,New Generation,1981,61 years,390000.0,177 ANG MO KIO AVE 4,560177,1.37583827139652,103.838123054825,2025-06-30
46641,2019-04,ANG MO KIO,4 ROOM,562,ANG MO KIO AVE 3,07 TO 09,92.0,New Generation,1980,59 years 09 months,394888.0,562 ANG MO KIO AVE 3,560562,1.37018144221919,103.85901883576,2025-06-30
46642,2019-04,ANG MO KIO,4 ROOM,570,ANG MO KIO AVE 3,07 TO 09,92.0,New Generation,1979,59 years 01 month,395000.0,570 ANG MO KIO AVE 3,560570,1.3697435855576,103.856023138277,2025-06-30
46643,2019-04,ANG MO KIO,4 ROOM,134,ANG MO KIO AVE 3,01 TO 03,98.0,New Generation,1978,58 years 05 months,398000.0,134 ANG MO KIO AVE 3,560134,1.37207665479505,103.841947733195,2025-06-30
46644,2019-04,ANG MO KIO,4 ROOM,150,ANG MO KIO AVE 5,10 TO 12,93.0,New Generation,1981,60 years 09 months,399200.0,150 ANG MO KIO AVE 5,560150,1.37680678506745,103.842017962576,2025-06-30
46645,2019-04,ANG MO KIO,4 ROOM,103,ANG MO KIO AVE 3,07 TO 09,99.0,New Generation,1978,57 years 10 months,403000.0,103 ANG MO KIO AVE 3,560103,1.37101657804604,103.839304839187,2025-06-30
46646,2019-04,ANG MO KIO,4 ROOM,640,ANG MO KIO AVE 6,07 TO 09,91.0,New Generation,1980,60 years 03 months,405000.0,640 ANG MO KIO AVE 6,560640,1.38003436037009,103.843606664405,2025-06-30
46647,2019-04,ANG MO KIO,4 ROOM,254,ANG MO KIO AVE 4,10 TO 12,98.0,New Generation,1977,57 years 03 months,410000.0,254 ANG MO KIO AVE 4,560254,1.37020344042146,103.834687722549,2025-06-30
46648,2019-04,ANG MO KIO,4 ROOM,337,ANG MO KIO AVE 1,01 TO 03,91.0,New Generation,1982,61 years 10 months,420000.0,337 ANG MO KIO AVE 1,560337,1.36319555672393,103.851616001112,2025-06-30
46649,2019-04,ANG MO KIO,4 ROOM,646,ANG MO KIO AVE 6,07 TO 09,103.0,New Generation,1980,60 years 08 months,420000.0,646 ANG MO KIO AVE 6,560646,1.37939517687868,103.843763599411,2025-06-30
