_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
196984,2025-08,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,07 TO 09,44.0,Improved,1979,52 years 10 months,353000.0,406 ANG MO KIO AVE 10,560406,1.36200453938712,103.853879910407,2026-01-18
196989,2025-08,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,07 TO 09,44.0,Improved,1978,51 years 05 months,320000.0,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983,2026-01-18
196993,2025-08,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,10 TO 12,45.0,Improved,1986,59 years 06 months,358000.0,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365,2026-01-18
197031,2025-08,ANG MO KIO,3 ROOM,220,ANG MO KIO AVE 1,01 TO 03,67.0,New Generation,1977,51 years,388000.0,220 ANG MO KIO AVE 1,560220,1.36558833593063,103.840518883254,2026-01-18
197032,2025-08,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,88.0,New Generation,1977,50 years 10 months,500000.0,320 ANG MO KIO AVE 1,560320,1.36559244608528,103.848386744168,2026-01-18
197033,2025-08,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,50 years 10 months,428000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2026-01-18
197034,2025-08,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,54 years 05 months,415000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513,2026-01-18
197035,2025-08,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1977,50 years 11 months,430000.0,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612,2026-01-18
197036,2025-08,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1977,50 years 11 months,418000.0,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612,2026-01-18
197037,2025-08,ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,28 TO 30,70.0,Model A,2012,86 years 01 month,740000.0,310C ANG MO KIO AVE 1,563310,1.36461194568101,103.844851256166,2025-08-12
197149,2025-08,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,58 years 02 months,418000.0,466 ANG MO KIO AVE 10,560466,1.36581960538764,103.857061606231,2026-01-18
197150,2025-08,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,54 years 06 months,410000.0,541 ANG MO KIO AVE 10,560541,1.37392239168826,103.855621371068,2026-01-18
197151,2025-08,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,04 TO 06,89.0,New Generation,1980,53 years 06 months,455000.0,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115,2026-01-18
197152,2025-08,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,53 years 02 months,370000.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2026-01-18
197153,2025-08,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,52 years 10 months,355000.0,405 ANG MO KIO AVE 10,560405,1.36157912717139,103.853805386957,2025-08-18
197154,2025-08,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1979,53 years 01 month,440000.0,416 ANG MO KIO AVE 10,560416,1.3645417089084,103.855103690549,2026-01-18
197155,2025-08,ANG MO KIO,3 ROOM,408,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,53 years 05 months,391168.0,408 ANG MO KIO AVE 10,560408,1.36209053459188,103.854587757902,2026-01-18
197156,2025-08,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,53 years 07 months,415000.0,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675,2026-01-18
197157,2025-08,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1979,52 years 09 months,500000.0,405 ANG MO KIO AVE 10,560405,1.36157912717139,103.853805386957,2026-01-18
