_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
196989,2025-02,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,60 years 02 months,335500.0,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123,2025-06-30
196990,2025-02,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,07 TO 09,45.0,Improved,1986,60 years,341000.0,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142,2025-06-30
196999,2025-02,ANG MO KIO,3 ROOM,308A,ANG MO KIO AVE 1,01 TO 03,70.0,Model A,2012,87 years 02 months,550000.0,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929,2025-06-30
197000,2025-02,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,50 years 03 months,430000.0,216 ANG MO KIO AVE 1,560216,1.36619678831054,103.841505011903,2025-06-30
197001,2025-02,ANG MO KIO,3 ROOM,308A,ANG MO KIO AVE 1,28 TO 30,70.0,Model A,2012,86 years 08 months,708000.0,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929,2025-06-30
197002,2025-02,ANG MO KIO,3 ROOM,332,ANG MO KIO AVE 1,07 TO 09,68.0,New Generation,1981,55 years,420000.0,332 ANG MO KIO AVE 1,560332,1.36167030761833,103.851955453764,2025-06-30
197003,2025-02,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,07 TO 09,68.0,New Generation,1981,54 years 11 months,440000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513,2025-06-30
197035,2025-02,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1980,54 years 01 month,403000.0,558 ANG MO KIO AVE 10,560558,1.37123613284274,103.859192016193,2025-06-30
197036,2025-02,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,55 years,405000.0,541 ANG MO KIO AVE 10,560541,1.37392239168826,103.855621371068,2025-06-30
197037,2025-02,ANG MO KIO,3 ROOM,550,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1981,55 years,488000.0,550 ANG MO KIO AVE 10,560550,1.37360769512088,103.85820494173,2025-06-30
197038,2025-02,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,13 TO 15,67.0,New Generation,1979,53 years 06 months,450000.0,475 ANG MO KIO AVE 10,560475,1.36266297827625,103.85651592319,2025-06-30
197039,2025-02,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,53 years 06 months,454000.0,476 ANG MO KIO AVE 10,560476,1.36238829184688,103.857880564737,2025-06-30
197040,2025-02,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,53 years,408000.0,435 ANG MO KIO AVE 10,560435,1.36766116325929,103.854307499675,2025-06-30
197041,2025-02,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,54 years,388000.0,557 ANG MO KIO AVE 10,560557,1.3716257020332,103.857736107527,2025-06-30
197042,2025-02,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,54 years,400000.0,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877,2025-06-30
197043,2025-02,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,54 years 01 month,360000.0,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235,2025-06-30
197044,2025-02,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,54 years 01 month,460000.0,534 ANG MO KIO AVE 10,560534,1.37405846295585,103.854168170426,2025-06-30
197045,2025-02,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,53 years 06 months,428000.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2025-06-30
197108,2025-02,ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,07 TO 09,78.0,New Generation,1978,52 years 05 months,472888.0,345 ANG MO KIO AVE 3,560345,1.36748702509964,103.849651723914,2025-06-30
197109,2025-02,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1979,53 years 05 months,450000.0,571 ANG MO KIO AVE 3,560571,1.37005501296043,103.85488055876,2025-06-30
197110,2025-02,ANG MO KIO,3 ROOM,129,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1979,53 years 01 month,435000.0,129 ANG MO KIO AVE 3,560129,1.36989498895756,103.842059049722,2025-06-30
