_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
196985,2025-01,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,52 years 02 months,318000.0,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983,2025-06-30
196992,2025-01,ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,13 TO 15,70.0,Model A,2012,86 years 10 months,650000.0,310C ANG MO KIO AVE 1,563310,1.36461194568101,103.844851256166,2025-06-30
196993,2025-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,51 years 06 months,448000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2025-06-30
196994,2025-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,10 TO 12,68.0,New Generation,1981,55 years 02 months,410000.0,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454,2025-06-30
196995,2025-01,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,50 years 05 months,440000.0,216 ANG MO KIO AVE 1,560216,1.36619678831054,103.841505011903,2025-06-30
196996,2025-01,ANG MO KIO,3 ROOM,332,ANG MO KIO AVE 1,07 TO 09,82.0,New Generation,1981,55 years 02 months,453000.0,332 ANG MO KIO AVE 1,560332,1.36167030761833,103.851955453764,2025-06-30
196997,2025-01,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,50 years 05 months,415000.0,215 ANG MO KIO AVE 1,560215,1.36655830166122,103.841624082978,2025-06-30
196998,2025-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1976,50 years 05 months,420000.0,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489,2025-06-30
197019,2025-01,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,07 TO 09,75.0,New Generation,1980,54 years 02 months,440000.0,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115,2025-06-30
197020,2025-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,13 TO 15,68.0,New Generation,1980,54 years 02 months,415000.0,557 ANG MO KIO AVE 10,560557,1.3716257020332,103.857736107527,2025-06-30
197021,2025-01,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,54 years 02 months,412888.0,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877,2025-06-30
197022,2025-01,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1979,53 years 02 months,520000.0,435 ANG MO KIO AVE 10,560435,1.36766116325929,103.854307499675,2025-06-30
197023,2025-01,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1979,53 years 09 months,478000.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2025-06-30
197024,2025-01,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1979,53 years 09 months,438888.0,416 ANG MO KIO AVE 10,560416,1.3645417089084,103.855103690549,2025-06-30
197025,2025-01,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1979,53 years 09 months,490888.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2025-06-30
197026,2025-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,58 years 08 months,425000.0,473 ANG MO KIO AVE 10,560473,1.36305380914637,103.856846002568,2025-06-30
197027,2025-01,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,53 years 11 months,413000.0,468 ANG MO KIO AVE 10,560468,1.36487674599293,103.856287317569,2025-06-30
197028,2025-01,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1981,55 years 01 month,415000.0,542 ANG MO KIO AVE 10,560542,1.37473841331656,103.855876768354,2025-06-30
197029,2025-01,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,54 years 01 month,440000.0,534 ANG MO KIO AVE 10,560534,1.37405846295585,103.854168170426,2025-06-30
197030,2025-01,ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,53 years 01 month,420000.0,432 ANG MO KIO AVE 10,560432,1.36830996981351,103.853600305664,2025-06-30
197031,2025-01,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1980,54 years 02 months,492000.0,534 ANG MO KIO AVE 10,560534,1.37405846295585,103.854168170426,2025-06-30
197032,2025-01,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,04 TO 06,74.0,New Generation,1979,53 years 08 months,418000.0,419 ANG MO KIO AVE 10,560419,1.36534669720177,103.85415182597,2025-06-30
197033,2025-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1984,58 years 07 months,410000.0,473 ANG MO KIO AVE 10,560473,1.36305380914637,103.856846002568,2025-06-30
197034,2025-01,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,54 years 02 months,458000.0,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675,2025-06-30
197096,2025-01,ANG MO KIO,3 ROOM,122,ANG MO KIO AVE 3,07 TO 09,82.0,New Generation,1978,52 years 11 months,480000.0,122 ANG MO KIO AVE 3,560122,1.37018860668947,103.843413231524,2025-06-30
197097,2025-01,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,52 years 11 months,420000.0,119 ANG MO KIO AVE 3,560119,1.36956344301912,103.844698910817,2025-06-30
197098,2025-01,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,52 years 11 months,472000.0,120 ANG MO KIO AVE 3,560120,1.37004739686133,103.844594754874,2025-06-30
197099,2025-01,ANG MO KIO,3 ROOM,585,ANG MO KIO AVE 3,04 TO 06,82.0,New Generation,1979,53 years 07 months,520000.0,585 ANG MO KIO AVE 3,560585,1.37059756050933,103.852367040901,2025-06-30
197100,2025-01,ANG MO KIO,3 ROOM,301,ANG MO KIO AVE 3,07 TO 09,88.0,New Generation,1978,52 years 04 months,510000.0,301 ANG MO KIO AVE 3,560301,1.36742112526427,103.845903587276,2025-06-30
197101,2025-01,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,04 TO 06,88.0,New Generation,1977,51 years 06 months,535000.0,322 ANG MO KIO AVE 3,560322,1.36835858820173,103.847745828569,2025-06-30
197102,2025-01,ANG MO KIO,3 ROOM,232,ANG MO KIO AVE 3,04 TO 06,82.0,New Generation,1977,51 years 09 months,550000.0,232 ANG MO KIO AVE 3,560232,1.36834606813391,103.837196046409,2025-06-30
197103,2025-01,ANG MO KIO,3 ROOM,328,ANG MO KIO AVE 3,04 TO 06,88.0,New Generation,1978,52 years 09 months,538000.0,328 ANG MO KIO AVE 3,560328,1.36661793708764,103.84786688518,2025-06-30
197104,2025-01,ANG MO KIO,3 ROOM,346,ANG MO KIO AVE 3,01 TO 03,73.0,New Generation,1978,52 years 04 months,375000.0,346 ANG MO KIO AVE 3,560346,1.36709586875167,103.84966230288,2025-06-30
